,SchoolName,LastUpdate,LastUpdateAgreed,CumulativeCases,CumulativeCasesAgreed,TotalTests,TotalTestsAgreed,TotalResponses
0,American University,2020-11-16 00:00:00,5,35,5,No agreed upon value,,5
1,Auburn University,2020-11-15 00:00:00,4,1467,4,No agreed upon value,,5
2,Augustana College,,,No agreed upon value,,No agreed upon value,,3
3,Ball State University,,,1283,3,2767,2,5
4,Bard College,2020-11-13 00:00:00,5,1,4,6194,5,5
5,Bates,2020-11-18 00:00:00,4,23,2,48196,3,5
6,Baylor University,2020-11-18 00:00:00,3,1453,5,54378,5,5
7,Binghamton University,2020-11-18 00:00:00,5,2467,2,498382,2,5
8,Boston College ,2020-11-18 00:00:00,4,321,5,103051,5,5
9,Boston University,2020-11-17 00:00:00,3,373,5,392430,5,5
10,Brandeis University,2020-11-06 00:00:00,2,No agreed upon value,,76275,3,5
11,Bowdoin College,2020-11-18 00:00:00,4,10,4,32759,4,5
12,Brown,2020-11-17 00:00:00,3,116,4,121489,4,5
13,Bryn Mawr,2020-11-16 00:00:00,2,No agreed upon value,,No agreed upon value,,5
14,Bucknell,2020-11-19 00:00:00,5,71,5,47378,5,5
15,Butler,2020-11-16 00:00:00,5,310,3,9543,5,5
16,California Institute of Technology,2020-11-18 00:00:00,5,35,5,1403,5,5
17,Cal Poly ,2020-11-18 00:00:00,5,86,2,28267,2,5
18,Carnegie Mellon,2020-11-18 00:00:00,2,155,3,5686,3,5
19,Case Western Reserve University,2020-11-15 00:00:00,4,140,4,9989,4,5
20,Central Michigan University,2020-11-19 00:00:00,3,604,5,15562,3,5
21,Centre College,2020-11-18 00:00:00,2,48,4,6449,4,5
22,Clemson,2020-11-16 00:00:00,5,5086,5,122760,5,5
23,Colgate,2020-11-17 00:00:00,2,53,2,10690,4,5
24,College of Charleston,2020-11-19 00:00:00,5,525,3,1101,5,5
25,College of William and Mary,2020-11-18 00:00:00,3,78,5,26875,3,5
26,College of Saint Benedict/ Saint John's University,,,,,,,
27,College of Wooster ,2020-11-14 00:00:00,3,130,5,6510,5,5
28,Colorado School of Mines,2020-11-18 00:00:00,5,260,5,19030,5,5
29,Columbia,2020-11-09 00:00:00,3,66,5,55518,5,5
30,Cornell,2020-11-17 00:00:00,2,No agreed upon value,,33668,2,5
31,Creighton University,2020-11-14 00:00:00,5,613,5,8789,2,5
32,Dartmouth,2020-11-18 00:00:00,5,33,5,49249,5,5
33,Drexel,2020-11-15 00:00:00,4,48,5,2835,5,5
34,Duke,2020-11-16 00:00:00,3,217,3,162552,2,5
35,Duquesne University,2020-11-17 00:00:00,4,272,5,No agreed upon value,,5
36,Elon University,2020-11-19 00:00:00,3,779,3,6337,5,5
37,Emerson College,2020-11-18 00:00:00,4,44,5,45631,5,5
38,Emory University,2020-11-19 00:00:00,5,73,3,34857,4,5
39,Fairfield University,2020-11-17 00:00:00,5,599,5,13824,4,5
40,Fordham University,2020-11-17 00:00:00,3,58,4,4855,4,5
41,Framingham State University,2020-11-10 00:00:00,3,10,3,3728,3,5
42,Florida State University,2020-11-14 00:00:00,4,1737,5,34014,5,5
43,George Mason University,2020-11-18 00:00:00,2,182,2,12343,2,5
44,George Washington University,2020-11-17 00:00:00,3,158,5,29836,5,5
45,Georgia College,2020-11-19 00:00:00,5,757,5,,,5
46,Georgia State University,2020-11-13 00:00:00,3,86,5,4697,5,5
47,Georgia Tech,2020-11-19 00:00:00,3,1436,5,134859,5,5
48,Gonzaga,2020-11-18 00:00:00,5,121,3,9580,5,5
49,Grand Valley State University,2020-11-19 00:00:00,2,541,5,26833,5,5
50,Hamilton,2020-11-18 00:00:00,4,23,4,63233,4,5
51,Harvard,2020-11-19 00:00:00,5,195,5,202136,5,5
52,Haverford College,2020-11-17 00:00:00,4,13,4,7418,4,5
53,High Point University,2020-11-19 00:00:00,2,12,2,No agreed upon value,,4
