,CollectionDate,WorkerID,SchoolName,LastUpdate,DailyNewCases,WeeklyNewCases,ActiveCases,CumulativeCases,DailyNewTests,WeeklyNewTests,TotalTests,Comments
0,10/22/20,AZLZA0Q87TJZO,American University,10/19/2020,,0,,26,,,,"This school didn't provide testing data, only weekly and cumulative case information."
1,10/22/20,AZLZA0Q87TJZO,Auburn University,10/18/2020,,11,,1629,,,,"The testing data provided was of asymptomatic people and not people tested at the  medical clinic, so some of the information is missing."
2,10/22/20,AZLZA0Q87TJZO,Augustana College,10/16/2020,,18,18,,,,,They don't provide information further back than two weeks and don't provide exact testing numbers.
3,10/22/20,AZLZA0Q87TJZO,Ball State University,10/22/2020,5,,46,1098,12,,918,
4,10/22/20,AZLZA0Q87TJZO,Bard College,10/16/2020,,,0,,,,4417,
5,10/22/20,AZLZA0Q87TJZO,Bates,10/20/2020,0,0,1,4,934,3945,33511,
6,10/22/20,AZLZA0Q87TJZO,Baylor University,10/22/2020,0,26,65,1201,50,1061,47872,
7,10/22/20,AZLZA0Q87TJZO,Binghamton University,10/21/2020,5,,,1307,,33995,244242,
8,10/22/20,AZLZA0Q87TJZO,Boston College,10/22/2020,4,,32,225,4196,16015,67861,
9,10/22/20,AZLZA0Q87TJZO,Boston University,10/21/2020,7,39,34,195,4573,32477,268119,
10,10/22/20,AZLZA0Q87TJZO,Brandeis University,10/21/2020,,1,1,,,3378,20220,
11,10/22/20,AZLZA0Q87TJZO,Bowdoin College,10/21/2020,0,,0,4,,2543,22905,
12,10/22/20,AZLZA0Q87TJZO,Brown,10/21/2020,,2,,29,,9507,76363,
13,10/22/20,AZLZA0Q87TJZO,Bryn Mawr,10/22/2020,,1,1,7,,450,2964,
14,10/22/20,AZLZA0Q87TJZO,Bucknell,10/22/2020,2,2,2,21,391,962,32839,
15,10/22/20,AZLZA0Q87TJZO,Butler,10/19/2020,,,5,165,,,7438,
16,10/22/20,AZLZA0Q87TJZO,California Institute of Technology ,10/22/2020,,,,26,,,1154,
17,10/22/20,AZLZA0Q87TJZO,Cal Poly,10/21/2020,3,,16,220,112,,6972,
18,10/22/20,AZLZA0Q87TJZO,Carnegie Mellon,10/22/2020,,5,,32,,315,7435,
19,10/22/20,AZLZA0Q87TJZO,Case Western Reserve University,10/20/2020,,9,,56,,458,5555,
20,10/22/20,AZLZA0Q87TJZO,Central Michigan University,10/21/2020,1,10,14,338,,,,They do not provide exact testing numbers.
21,10/22/20,AZLZA0Q87TJZO,Centre College,10/21/2020,0,5,13,34,,694,6740,
22,10/22/20,AZLZA0Q87TJZO,Clemson,10/19/2020,31,237,,4536,,8972,80958,
23,10/22/20,AZLZA0Q87TJZO,Colgate,10/21/2020,0,,1,50,,,8537,
24,10/22/20,AZLZA0Q87TJZO,College of Charleston,10/22/2020,,,11,434,,,804,
25,10/22/20,AZLZA0Q87TJZO,College of William and Mary,10/22/2020,,,10,44,,705,19485,
26,10/22/20,AZLZA0Q87TJZO,College of Saint Benedict/ Saint John's University,10/21/2020,3,,,209,12,,418,
27,10/22/20,AZLZA0Q87TJZO,College of Wooster,10/17/2020,,73,,101,,602,3696,
28,10/22/20,AZLZA0Q87TJZO,Colorado School of Mines,10/20/2020,1,,14,79,,,11499,
0,10/22/20,AZLZA0Q87TJZO,Columbia,10/12/2020,,3,,24,,4077,35075,
1,10/22/20,AZLZA0Q87TJZO,Cornell,10/20/2020,0,,8,,5659,,,This school only had data available for the past 14 days so I couldn't get cumulative numbers.
2,10/22/20,AZLZA0Q87TJZO,Creighton,10/17/2020,,79,,365,,839,4661,
3,10/22/20,AZLZA0Q87TJZO,Dartmouth,10/21/2020,,0,1,13,,1584,30053,
4,10/22/20,AZLZA0Q87TJZO,Drexel,10/21/2020,,,5,38,,,,"This school did not provide any testing data, only case data. And even then, it was currently active and cumulative, not broken down by week or day."
