,school_name,dashboard
0,American University,https://www.american.edu/coronavirus/reporting.cfm
1,Auburn University,http://auburn.edu/covid-resource-center/
2,Augustana College,https://augustana.edu/augustana-strong/dashboard
3,Ball State University,https://www.bsu.edu/about/administrativeoffices/emergency-preparedness/pandemicfluprep/coronavirus/dashboard
4,Bard College,https://www.bard.edu/covid19/assessment/#4908477
5,Bates,https://www.bates.edu/fall-2020/covid-19-dashboard/
6,Baylor University,https://www.baylor.edu/coronavirus/index.php?id=972342
7,Binghamton University,https://www.binghamton.edu/restarting-binghamton/covid-19-dashboard.html
8,Boston College ,https://bccovid.dav.sh/
9,Boston University,https://www.bu.edu/healthway/community-dashboard/
10,Brandeis University,https://www.brandeis.edu/fall-2020/dashboard.html
11,Bowdoin College,https://www.bowdoin.edu/covid-19/dashboard/index.html
12,Brown,https://healthy.brown.edu/testing-tracing/dashboard
13,Bryn Mawr,https://www.brynmawr.edu/coronavirus/covid-19-dashboard
14,Bucknell,https://www.bucknell.edu/life-bucknell/fall-reopening/covid-19-dashboard
15,Butler,https://www.butler.edu/coronavirus-dashboard
16,California Institute of Technology,https://coronavirus.caltech.edu/resources/cases-testing-and-tracing
17,Cal Poly ,https://coronavirus.calpoly.edu/dashboard
18,Carnegie Mellon,https://www.cmu.edu/coronavirus/health-and-wellness/dashboard.html
19,Case Western Reserve University,https://case.edu/return-to-campus/campus-information/covid-19-testing-and-case-data
20,Central Michigan University,https://www.cmich.edu/firedupforfall/Pages/confirmed-cases.aspx
21,Centre College,https://www.centre.edu/covid19-dashboard/
22,Clemson,https://www.clemson.edu/coronavirus/dashboard.html
23,Colgate,https://www.colgate.edu/colgate-together/health-preparedness-and-analytics/health-analytics-dashboard
24,College of Charleston,https://cofc.edu/back-on-the-bricks/covid-19-dashboard/
25,College of William and Mary,https://www.wm.edu/about/administration/emergency/current_issues/coronavirus/dashboard/index.php
26,College of Saint Benedict/ Saint John's University,https://csbsju.edu/covid-19/stats
27,College of Wooster , https://t.co/KHrx4ByWxH?amp=1
28,Colorado School of Mines,https://www.mines.edu/coronavirus/covid-19-cases/
29,Columbia,https://covid19.columbia.edu/
30,Cornell,https://covid.cornell.edu/testing/dashboard/
31,Creighton University,https://www.creighton.edu/about/fall-2020-campus-reopening/coronavirus-dashboard
