,School,Cases,City,State,Date
0,Alabama A&M University,41,Huntsville,Alabama,04-03-2021
1,Alabama State University,2,Montgomery,Alabama,04-03-2021
2,Athens State University,35,Athens,Alabama,04-03-2021
3,Auburn University*,"2,134",Auburn,Alabama,04-03-2021
4,Auburn University at Montgomery,140,Montgomery,Alabama,04-03-2021
5,Bevill State Community College,4,Jasper,Alabama,04-03-2021
6,Birmingham-Southern College,214,Birmingham,Alabama,04-03-2021
7,Calhoun Community College,84,Tanner,Alabama,04-03-2021
8,Central Alabama Community College,39,Alexander City,Alabama,04-03-2021
9,Enterprise State Community College,41,Enterprise,Alabama,04-03-2021
10,Gadsden State Community College,62,Gadsden,Alabama,04-03-2021
11,Jacksonville State University,219,Jacksonville,Alabama,04-03-2021
12,Lurleen B. Wallace Community College,19,Andalusia,Alabama,04-03-2021
13,Marion Military Institute,13,Marion,Alabama,04-03-2021
14,Samford University,480,Birmingham,Alabama,04-03-2021
15,Snead State Community College,19,Boaz,Alabama,04-03-2021
16,Southern Union State Community College,59,Wadley,Alabama,04-03-2021
17,Spring Hill College,124,Mobile,Alabama,04-03-2021
18,Troy University,749,Troy,Alabama,04-03-2021
19,Troy University Dothan,17,Dothan,Alabama,04-03-2021
20,Troy University Montgomery,18,Montgomery,Alabama,04-03-2021
21,Troy University-Phenix City Campus,9,Phenix,Alabama,04-03-2021
22,Tuskegee University,110,Tuskeegee,Alabama,04-03-2021
23,University of Alabama,"3,361",Tuscaloosa,Alabama,04-03-2021
24,University of Alabama at Birmingham*,"2,286",Birmingham,Alabama,04-03-2021
25,University of Alabama in Huntsville,210,Huntsville,Alabama,04-03-2021
26,University of Montevallo,140,Montevallo,Alabama,04-03-2021
27,University of North Alabama,488,Florence,Alabama,04-03-2021
28,University of South Alabama,507,Mobile,Alabama,04-03-2021
29,University of West Alabama,30,Livingston,Alabama,04-03-2021
30,University of Alaska Anchorage,12,Anchorage,Alaska,04-03-2021
31,University of Alaska Fairbanks,130,Fairbanks,Alaska,04-03-2021
32,University of Alaska Southeast,1,Juneau,Alaska,04-03-2021
33,Arizona State University,"3,642",Tempe,Arizona,04-03-2021
34,Arizona Western College,41,Yuma,Arizona,04-03-2021
35,Dine College,5,Tsaile,Arizona,04-03-2021
36,Embry-Riddle Aeronautical University at Prescott,54,Prescott,Arizona,04-03-2021
37,Grand Canyon University,"1,372",Phoenix,Arizona,04-03-2021
38,Midwestern University at Glendale,158,Glendale,Arizona,04-03-2021
39,Northern Arizona University,354,Flagstaff,Arizona,04-03-2021
40,University of Arizona,"2,959",Tucson,Arizona,04-03-2021
41,Arkansas Northeastern College,56,Blytheville,Arkansas,04-03-2021
42,Arkansas State University,"1,153",Jonesboro,Arkansas,04-03-2021
