,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,19303.0,19477.0,Huntsville,Madison,Alabama,12-21-2020
1,Alabama State University,2,14590.0,14858.0,Montgomery,Montgomery,Alabama,12-21-2020
2,Athens State University,35,6000.0,6052.0,Athens,Limestone,Alabama,12-21-2020
3,Auburn University*,"2,134",9299.0,9372.0,Auburn,Lee,Alabama,12-21-2020
4,Auburn University at Montgomery,140,14590.0,14858.0,Montgomery,Montgomery,Alabama,12-21-2020
5,Bevill State Community College,4,4610.0,4741.0,Jasper,Walker,Alabama,12-21-2020
6,Birmingham-Southern College,214,45397.0,46004.0,Birmingham,Jefferson,Alabama,12-21-2020
7,Calhoun Community College,84,6000.0,6052.0,Tanner,Limestone,Alabama,12-21-2020
8,Central Alabama Community College,39,2092.0,2188.0,Alexander City,Tallapoosa,Alabama,12-21-2020
9,Enterprise State Community College,41,3196.0,3227.0,Enterprise,Coffee,Alabama,12-21-2020
10,Gadsden State Community College,62,8901.0,8983.0,Gadsden,Etowah,Alabama,12-21-2020
11,Jacksonville State University,219,8544.0,8684.0,Jacksonville,Calhoun,Alabama,12-21-2020
12,Lurleen B. Wallace Community College,19,2687.0,2725.0,Andalusia,Covington,Alabama,12-21-2020
13,Marion Military Institute,13,786.0,795.0,Marion,Perry,Alabama,12-21-2020
14,Samford University,480,45397.0,46004.0,Birmingham,Jefferson,Alabama,12-21-2020
15,Snead State Community College,19,8901.0,8983.0,Boaz,Etowah,Alabama,12-21-2020
16,Southern Union State Community College,59,1152.0,1181.0,Wadley,Randolph,Alabama,12-21-2020
17,Spring Hill College,124,23212.0,23627.0,Mobile,Mobile,Alabama,12-21-2020
18,Troy University,749,1807.0,1830.0,Troy,Pike,Alabama,12-21-2020
19,Troy University Dothan,17,6536.0,6589.0,Dothan,Houston,Alabama,12-21-2020
20,Troy University Montgomery,18,14590.0,14858.0,Montgomery,Montgomery,Alabama,12-21-2020
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,12-21-2020
22,Tuskegee University,110,,,Tuskeegee,,Alabama,12-21-2020
23,University of Alabama,"3,361",16564.0,16770.0,Tuscaloosa,Tuscaloosa,Alabama,12-21-2020
24,University of Alabama at Birmingham*,"2,286",45397.0,46004.0,Birmingham,Jefferson,Alabama,12-21-2020
25,University of Alabama in Huntsville,210,19303.0,19477.0,Huntsville,Madison,Alabama,12-21-2020
26,University of Montevallo,140,13919.0,14016.0,Montevallo,Shelby,Alabama,12-21-2020
27,University of North Alabama,488,5580.0,5644.0,Florence,Lauderdale,Alabama,12-21-2020
28,University of South Alabama,507,23212.0,23627.0,Mobile,Mobile,Alabama,12-21-2020
29,University of West Alabama,30,725.0,749.0,Livingston,Sumter,Alabama,12-21-2020
