Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
07/28/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0.0,58439.0,0.98,3785.0,0.0,479.0,4264.0,
07/28/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1.0,59201.0,0.99,3787.0,0.0,520.0,4308.0,
07/28/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0.0,58470.0,0.99,3812.0,0.0,554.0,4366.0,
07/28/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,5.0,58558.0,1.01,3674.0,1.0,563.0,4241.0,
07/28/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,7.0,58804.0,1.02,3796.0,4.0,649.0,4448.0,
07/28/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,35.0,58859.0,1.02,3922.0,17.0,625.0,4564.0,
07/28/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,52.0,57783.0,1.01,3911.0,27.0,612.0,4547.0,
07/28/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,565.0,58618.0,1.03,4503.0,251.0,550.0,5360.0,
07/28/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,3142.0,62616.0,1.12,6143.0,1419.0,440.0,8256.0,
07/28/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,9937.0,71854.0,1.29,9860.0,4725.0,477.0,15313.0,
07/28/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,16079.0,78584.0,1.42,11924.0,7191.0,472.0,20944.0,
07/28/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,16969.0,76265.0,1.41,11335.0,7274.0,265.0,21106.0,
07/28/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,15310.0,73251.0,1.36,10299.0,6564.0,143.0,19092.0,
07/28/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,13027.0,68624.0,1.28,8870.0,5474.0,65.0,16468.0,
07/28/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,11031.0,66031.0,1.25,7745.0,4657.0,47.0,14156.0,
07/28/2020,05/16/2020,05/16/2020,By week,United States,Week-ending,9023.0,63525.0,1.21,6644.0,3720.0,20.0,11964.0,
07/28/2020,05/23/2020,05/23/2020,By week,United States,Week-ending,7049.0,60616.0,1.16,5772.0,2927.0,23.0,9913.0,
07/28/2020,05/30/2020,05/30/2020,By week,United States,Week-ending,6011.0,58307.0,1.12,5147.0,2435.0,11.0,8734.0,
07/28/2020,06/06/2020,06/06/2020,By week,United States,Week-ending,4873.0,56998.0,1.09,4756.0,2096.0,11.0,7544.0,
07/28/2020,06/13/2020,06/13/2020,By week,United States,Week-ending,4051.0,55201.0,1.07,4328.0,1806.0,11.0,6581.0,
07/28/2020,06/20/2020,06/20/2020,By week,United States,Week-ending,3588.0,54161.0,1.05,4100.0,1522.0,5.0,6171.0,
07/28/2020,06/27/2020,06/27/2020,By week,United States,Week-ending,3395.0,53124.0,1.03,3819.0,1390.0,10.0,5833.0,
07/28/2020,07/04/2020,07/04/2020,By week,United States,Week-ending,3714.0,51937.0,1.0,3851.0,1640.0,3.0,5926.0,
07/28/2020,07/11/2020,07/11/2020,By week,United States,Week-ending,3896.0,49254.0,0.96,4110.0,1863.0,6.0,6149.0,
07/28/2020,07/18/2020,07/18/2020,By week,United States,Week-ending,2585.0,37142.0,0.72,2765.0,1186.0,7.0,4170.0,
07/28/2020,07/25/2020,07/25/2020,By week,United States,Week-ending,365.0,11431.0,0.22,687.0,186.0,2.0,867.0,
07/28/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0.0,1022.0,0.94,56.0,0.0,14.0,70.0,
07/28/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0.0,1114.0,1.0,61.0,0.0,10.0,71.0,
07/28/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0.0,1088.0,1.0,76.0,0.0,,82.0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/28/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0.0,1093.0,1.01,68.0,0.0,,73.0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/28/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0.0,1157.0,1.11,63.0,0.0,14.0,77.0,
07/28/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0.0,1052.0,1.01,58.0,0.0,13.0,71.0,
07/28/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0.0,1083.0,1.0,60.0,0.0,,67.0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/28/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1050.0,1.03,71.0,,,78.0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/28/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,23.0,1063.0,1.04,68.0,,,92.0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/28/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,49.0,1144.0,1.11,65.0,11.0,,106.0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/28/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,81.0,1126.0,1.1,86.0,27.0,,143.0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/28/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,89.0,1133.0,1.15,94.0,26.0,0.0,157.0,
07/28/2020,04/25/2020,04/25/2020,By week,Alabama,Week-ending,83.0,1125.0,1.12,76.0,19.0,,141.0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/28/2020,05/02/2020,05/02/2020,By week,Alabama,Week-ending,78.0,1126.0,1.13,86.0,25.0,,140.0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/28/2020,05/09/2020,05/09/2020,By week,Alabama,Week-ending,114.0,1153.0,1.14,93.0,34.0,,173.0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/28/2020,05/16/2020,05/16/2020,By week,Alabama,Week-ending,90.0,1123.0,1.12,87.0,29.0,,149.0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/28/2020,05/23/2020,05/23/2020,By week,Alabama,Week-ending,76.0,1129.0,1.15,80.0,22.0,0.0,134.0,
07/28/2020,05/30/2020,05/30/2020,By week,Alabama,Week-ending,103.0,1080.0,1.11,95.0,30.0,,169.0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/28/2020,06/06/2020,06/06/2020,By week,Alabama,Week-ending,86.0,1117.0,1.11,85.0,31.0,,141.0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/28/2020,06/13/2020,06/13/2020,By week,Alabama,Week-ending,78.0,1086.0,1.15,72.0,28.0,0.0,122.0,
07/28/2020,06/20/2020,06/20/2020,By week,Alabama,Week-ending,83.0,1029.0,1.06,77.0,25.0,0.0,135.0,
07/28/2020,06/27/2020,06/27/2020,By week,Alabama,Week-ending,93.0,1036.0,1.11,75.0,27.0,0.0,141.0,
