,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,,33577.0,Huntsville,Madison,Alabama,04-01-2021
1,Alabama State University,2,,23779.0,Montgomery,Montgomery,Alabama,04-01-2021
2,Athens State University,35,,9753.0,Athens,Limestone,Alabama,04-01-2021
3,Auburn University*,"2,134",,15433.0,Auburn,Lee,Alabama,04-01-2021
4,Auburn University at Montgomery,140,,23779.0,Montgomery,Montgomery,Alabama,04-01-2021
5,Bevill State Community College,4,,7067.0,Jasper,Walker,Alabama,04-01-2021
6,Birmingham-Southern College,214,,74789.0,Birmingham,Jefferson,Alabama,04-01-2021
7,Calhoun Community College,84,,9753.0,Tanner,Limestone,Alabama,04-01-2021
8,Central Alabama Community College,39,,3848.0,Alexander City,Tallapoosa,Alabama,04-01-2021
9,Enterprise State Community College,41,,5387.0,Enterprise,Coffee,Alabama,04-01-2021
10,Gadsden State Community College,62,,13646.0,Gadsden,Etowah,Alabama,04-01-2021
11,Jacksonville State University,219,,14227.0,Jacksonville,Calhoun,Alabama,04-01-2021
12,Lurleen B. Wallace Community College,19,,4043.0,Andalusia,Covington,Alabama,04-01-2021
13,Marion Military Institute,13,,1080.0,Marion,Perry,Alabama,04-01-2021
14,Samford University,480,,74789.0,Birmingham,Jefferson,Alabama,04-01-2021
15,Snead State Community College,19,,13646.0,Boaz,Etowah,Alabama,04-01-2021
16,Southern Union State Community College,59,,1753.0,Wadley,Randolph,Alabama,04-01-2021
17,Spring Hill College,124,,37515.0,Mobile,Mobile,Alabama,04-01-2021
18,Troy University,749,,3044.0,Troy,Pike,Alabama,04-01-2021
19,Troy University Dothan,17,,10342.0,Dothan,Houston,Alabama,04-01-2021
20,Troy University Montgomery,18,,23779.0,Montgomery,Montgomery,Alabama,04-01-2021
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,04-01-2021
22,Tuskegee University,110,,,Tuskeegee,,Alabama,04-01-2021
23,University of Alabama,"3,361",,25082.0,Tuscaloosa,Tuscaloosa,Alabama,04-01-2021
24,University of Alabama at Birmingham*,"2,286",,74789.0,Birmingham,Jefferson,Alabama,04-01-2021
25,University of Alabama in Huntsville,210,,33577.0,Huntsville,Madison,Alabama,04-01-2021
26,University of Montevallo,140,,23077.0,Montevallo,Shelby,Alabama,04-01-2021
27,University of North Alabama,488,,9144.0,Florence,Lauderdale,Alabama,04-01-2021
28,University of South Alabama,507,,37515.0,Mobile,Mobile,Alabama,04-01-2021
29,University of West Alabama,30,,1026.0,Livingston,Sumter,Alabama,04-01-2021
30,University of Alaska Anchorage,12,,28574.0,Anchorage,Anchorage,Alaska,04-01-2021
31,University of Alaska Fairbanks,130,,6680.0,Fairbanks,Fairbanks North Star,Alaska,04-01-2021
32,University of Alaska Southeast,1,,1300.0,Juneau,Juneau,Alaska,04-01-2021
33,Arizona State University,"3,642",,524547.0,Tempe,Maricopa,Arizona,04-01-2021
34,Arizona Western College,41,,36756.0,Yuma,Yuma,Arizona,04-01-2021
35,Dine College,5,,11026.0,Tsaile,Apache,Arizona,04-01-2021
36,Embry-Riddle Aeronautical University at Prescott,54,,18320.0,Prescott,Yavapai,Arizona,04-01-2021
37,Grand Canyon University,"1,372",,524547.0,Phoenix,Maricopa,Arizona,04-01-2021
38,Midwestern University at Glendale,158,,524547.0,Glendale,Maricopa,Arizona,04-01-2021
39,Northern Arizona University,354,,17091.0,Flagstaff,Coconino,Arizona,04-01-2021
40,University of Arizona,"2,959",,112707.0,Tucson,Pima,Arizona,04-01-2021
41,Arkansas Northeastern College,56,,5751.0,Blytheville,Mississippi,Arkansas,04-01-2021
42,Arkansas State University,"1,153",,13089.0,Jonesboro,Craighead,Arkansas,04-01-2021
43,Arkansas State University-Newport,43,,6733.0,Newport,Jackson,Arkansas,04-01-2021
44,Arkansas Tech University,402,,7867.0,Russellville,Pope,Arkansas,04-01-2021
45,Black River Technical College,85,,1753.0,Pocahontas,Randolph,Arkansas,04-01-2021
46,Central Baptist College,20,,12207.0,Conway,Faulkner,Arkansas,04-01-2021
47,Harding University,435,,7801.0,Searcy,White,Arkansas,04-01-2021
48,Henderson State University,172,,2081.0,Arkadelphia,Clark,Arkansas,04-01-2021
49,Hendrix College,22,,12207.0,Conway,Faulkner,Arkansas,04-01-2021
50,John Brown University,66,,28176.0,Siloam Springs,Benton,Arkansas,04-01-2021
51,Lyon College,22,,3720.0,Batesville,Independence,Arkansas,04-01-2021
52,National Park College,66,,,Hot Springs,,Arkansas,04-01-2021
53,North Arkansas College,76,,3742.0,Harrison,Boone,Arkansas,04-01-2021
54,NorthWest Arkansas Community College,34,,28176.0,Bentonville,Benton,Arkansas,04-01-2021
55,Ouachita Baptist University,197,,2081.0,Arkadelphia,Clark,Arkansas,04-01-2021
56,South Arkansas Community College,41,,3939.0,El Dorado,Union,Arkansas,04-01-2021
57,Southern Arkansas University,216,,2322.0,Magnolia,Columbia,Arkansas,04-01-2021
58,University of Arkansas,"2,742",,1639.0,Fayetteville,Washington,Arkansas,04-01-2021
59,University of Arkansas Community College Rich Mountain,19,,1962.0,Mena,Polk,Arkansas,04-01-2021
60,University of Arkansas Community College at Hope - Texarkana,32,,4214.0,Texarkana,Miller,Arkansas,04-01-2021
61,University of Arkansas Community College-Morrilton,34,,2190.0,Morrilton,Conway,Arkansas,04-01-2021
62,University of Arkansas at Fort Smith,192,,15049.0,Fort Smith,Sebastian,Arkansas,04-01-2021
63,University of Arkansas at Little Rock,218,,38340.0,Little Rock,Pulaski,Arkansas,04-01-2021
64,University of Arkansas at Monticello,106,,1984.0,Monticello,Drew,Arkansas,04-01-2021
65,University of Arkansas at Pine Bluff,201,,74789.0,Pine Bluff,Jefferson,Arkansas,04-01-2021
66,University of Arkansas for Medical Sciences,181,,38340.0,Little Rock,Pulaski,Arkansas,04-01-2021
67,University of Arkansas-Pulaski Technical College,108,,38340.0,North Little Rock,Pulaski,Arkansas,04-01-2021
68,University of Central Arkansas,563,,12207.0,Conway,Faulkner,Arkansas,04-01-2021
69,University of the Ozarks,63,,2879.0,Clarksville,Johnson,Arkansas,04-01-2021
70,Antelope Valley College,28,,1220256.0,Lancaster,Los Angeles,California,04-01-2021
71,Azusa Pacific University,44,,1220256.0,Azusa,Los Angeles,California,04-01-2021
72,Biola University,10,,1220256.0,La Mirada,Los Angeles,California,04-01-2021
73,California Baptist University,25,,294617.0,Riverside,Riverside,California,04-01-2021
74,California Institute of Technology,48,,1220256.0,Pasadena,Los Angeles,California,04-01-2021
75,California Lutheran University,22,,79716.0,Thousand Oaks,Ventura,California,04-01-2021
76,"California Polytechnic State University, San Luis Obispo",871,,20522.0,San Luis Obispo,San Luis Obispo,California,04-01-2021
77,"California State Polytechnic University, Pomona",22,,1220256.0,Pomona,Los Angeles,California,04-01-2021
78,California State University Maritime Academy,8,,31240.0,Vallejo,Solano,California,04-01-2021
79,"California State University, Bakersfield",68,,106288.0,Bakersfield,Kern,California,04-01-2021
80,"California State University, Channel Islands",14,,79716.0,Camarillo,Ventura,California,04-01-2021
81,"California State University, Chico",233,,11321.0,Chico,Butte,California,04-01-2021
82,"California State University, Dominguez Hills",12,,1220256.0,Carson,Los Angeles,California,04-01-2021
83,"California State University, East Bay",27,,83475.0,Hayward,Alameda,California,04-01-2021
84,"California State University, Fullerton",22,,266353.0,Fullerton,Orange,California,04-01-2021
85,"California State University, Long Beach",51,,1220256.0,Long Beach,Los Angeles,California,04-01-2021
86,"California State University, Los Angeles",105,,1220256.0,Los Angeles,Los Angeles,California,04-01-2021
87,"California State University, Monterey Bay",10,,42961.0,Marina,Monterey,California,04-01-2021
88,"California State University, Northridge",71,,1220256.0,Los Angeles,Los Angeles,California,04-01-2021
89,"California State University, Sacramento",77,,97883.0,Sacramento,Sacramento,California,04-01-2021
90,"California State University, San Bernardino",28,,291022.0,San Bernardino,San Bernardino,California,04-01-2021
91,"California State University, San Marcos",45,,270539.0,San Marcos,San Diego,California,04-01-2021
92,"California State University, Stanislaus",20,,59013.0,Turlock,Stanislaus,California,04-01-2021
93,Chapman University,152,,266353.0,Orange,Orange,California,04-01-2021
94,Concordia University Irvine,23,,266353.0,Irvine,Orange,California,04-01-2021
95,Cypress College,19,,266353.0,Cypress,Orange,California,04-01-2021
