state,county,fips,Population Estimate
Alabama,Autauga County,1001,55869
Alabama,Baldwin County,1003,223234
Alabama,Barbour County,1005,24686
Alabama,Bibb County,1007,22394
Alabama,Blount County,1009,57826
Alabama,Bullock County,1011,10101
Alabama,Butler County,1013,19448
Alabama,Calhoun County,1015,113605
Alabama,Chambers County,1017,33254
Alabama,Cherokee County,1019,26196
Alabama,Chilton County,1021,44428
Alabama,Choctaw County,1023,12589
Alabama,Clarke County,1025,23622
Alabama,Clay County,1027,13235
Alabama,Cleburne County,1029,14910
Alabama,Coffee County,1031,52342
Alabama,Colbert County,1033,55241
Alabama,Conecuh County,1035,12067
Alabama,Coosa County,1037,10663
Alabama,Covington County,1039,37049
Alabama,Crenshaw County,1041,13772
Alabama,Cullman County,1043,83768
Alabama,Dale County,1045,49172
Alabama,Dallas County,1047,37196
Alabama,DeKalb County,1049,71513
Alabama,Elmore County,1051,81209
Alabama,Escambia County,1053,36633
Alabama,Etowah County,1055,102268
Alabama,Fayette County,1057,16302
Alabama,Franklin County,1059,31362
Alabama,Geneva County,1061,26271
Alabama,Greene County,1063,8111
Alabama,Hale County,1065,14651
Alabama,Henry County,1067,17205
Alabama,Houston County,1069,105882
Alabama,Jackson County,1071,51626
Alabama,Jefferson County,1073,658573
Alabama,Lamar County,1075,13805
Alabama,Lauderdale County,1077,92729
Alabama,Lawrence County,1079,32924
Alabama,Lee County,1081,164542
Alabama,Limestone County,1083,98915
Alabama,Lowndes County,1085,9726
Alabama,Macon County,1087,18068
Alabama,Madison County,1089,372909
Alabama,Marengo County,1091,18863
Alabama,Marion County,1093,29709
Alabama,Marshall County,1095,96774
Alabama,Mobile County,1097,413210
Alabama,Monroe County,1099,20733
Alabama,Montgomery County,1101,226486
Alabama,Morgan County,1103,119679
Alabama,Perry County,1105,8923
Alabama,Pickens County,1107,19930
Alabama,Pike County,1109,33114
Alabama,Randolph County,1111,22722
Alabama,Russell County,1113,57961
Alabama,St. Clair County,1115,89512
Alabama,Shelby County,1117,217702
Alabama,Sumter County,1119,12427
Alabama,Talladega County,1121,79978
Alabama,Tallapoosa County,1123,40367
Alabama,Tuscaloosa County,1125,209355
Alabama,Walker County,1127,63521
Alabama,Washington County,1129,16326
Alabama,Wilcox County,1131,10373
Alabama,Winston County,1133,23629
Alaska,Aleutians East Borough,2013,3337
Alaska,Aleutians West Census Area,2016,5634
Alaska,Anchorage Municipality,2020,288000
Alaska,Bethel Census Area,2050,18386
Alaska,Bristol Bay Borough,2060,836
Alaska,Denali Borough,2068,2097
Alaska,Dillingham Census Area,2070,4916
Alaska,Fairbanks North Star Borough,2090,96849
Alaska,Haines Borough,2100,2530
