,Texas,Georgia,Virginia,Kentucky,Missouri,Kansas,Illinois,North Carolina,Iowa,Tennessee,Nebraska,Indiana,Ohio,Minnesota,Michigan,Mississippi,Puerto Rico,Oklahoma,Arkansas,Wisconsin,Alabama,Florida,Pennsylvania,South Dakota,Louisiana,Colorado,New York,California,Montana,West Virginia,North Dakota,South Carolina,Idaho,Washington,Oregon,New Mexico,Alaska,Maryland,Wyoming,New Jersey,Maine,Nevada,Arizona,Vermont,Utah,Massachusetts,New Hampshire,Connecticut,Rhode Island,Hawaii,Delaware,District of Columbia
2020-03-22,643,621,220,103,134,65,1049,305,90,505,51,204,356,167,1035,207,23,67,165,381,180,1004,509,21,837,591,15800,1646,34,16,28,196,42,1997,161,57,20,244,26,1914,89,190,152,52,162,646,74,327,83,53,56,204
2020-03-23,764,772,254,123,244,84,1285,353,105,614,51,270,443,234,1329,249,31,81,192,425,224,1227,698,28,1172,704,20884,2108,34,16,30,298,68,2221,191,83,30,290,26,2844,107,245,235,75,257,777,101,415,106,56,68,120
2020-03-24,968,1026,293,162,328,100,1537,495,124,772,66,368,567,261,1793,320,39,106,219,481,298,1412,946,30,1388,723,25681,2538,51,22,36,342,81,2328,210,100,34,349,29,3675,118,278,326,95,298,1159,101,618,124,90,104,141
2020-03-25,1248,1247,396,197,427,134,1865,590,146,916,71,477,704,286,2296,377,51,164,280,621,472,1682,1260,41,1795,1021,30841,2998,65,39,45,424,91,2591,266,113,41,425,44,4402,142,323,401,125,340,1838,108,875,132,91,119,187
2020-03-26,1563,1525,466,247,600,172,2538,738,179,1097,74,645,868,344,2845,485,64,248,335,728,574,2357,1795,46,2304,1430,37877,3899,90,52,51,424,146,3207,316,113,56,583,53,6876,155,420,508,158,396,2417,137,1012,165,95,130,231
2020-03-27,1937,2000,607,301,779,206,3024,887,235,1318,82,979,1137,396,3634,579,79,322,381,926,684,2900,2345,58,2744,1433,44876,4657,109,76,68,542,205,3477,416,136,58,775,70,8825,168,536,665,184,472,3240,158,1291,203,106,163,271
2020-03-28,2455,2366,740,380,956,266,3491,1020,298,1511,96,1233,1406,441,4650,663,100,377,409,1055,801,3763,2845,68,3315,1740,52410,5095,129,96,94,660,234,4030,479,208,85,995,82,11124,211,626,773,211,602,4257,187,1524,239,149,214,304
2020-03-29,2792,2651,890,438,1049,330,4596,1191,336,1720,108,1513,1653,503,5488,759,127,429,426,1164,880,4246,3432,90,3540,2307,59648,5852,154,113,98,774,281,4465,548,237,102,1239,86,13386,253,920,919,235,720,4955,214,1993,294,149,232,342
2020-03-30,3173,2808,1020,479,1225,372,5056,1313,424,1917,145,1786,1933,576,6498,847,174,481,473,1230,1001,5473,4155,101,4025,2311,66663,7138,171,145,109,925,340,4923,606,237,114,1413,94,16636,275,1012,1157,256,798,5752,314,2571,408,175,264,401
2020-03-31,3809,3929,1249,628,1526,434,5994,1535,497,2391,172,2158,2199,629,7615,937,239,568,523,1412,1063,6741,4963,108,5237,2966,75833,8210,198,162,122,1083,515,5432,690,315,119,1660,109,18696,303,1114,1289,293,888,6620,357,3128,488,204,319,495
