,USA,RUS,JPN,IND,CHN,COL,MEX,BRA,UKR,PER,SWE,ITA,ESP,NLD,CHL,DEU,MYS,CAN,GBR,FRA,BEL,AUS,PAK,DNK,NZL,FIN,ALB,GNB,BOL,CPV,LKA,CYP,PAN,KEN,MKD,MUS,BTN,CHE,ROU,YEM,ERI,BDI,VNM,BRN,PHL,BWA,TTO,LBY,EST,ECU,ISR,BGD,COG,MNG,NAM,KWT,CIV,STP,TUN,MDG,MAR,SMR,BLR,TZA,ETH,HRV,TUR,LIE,OMN,NER,BFA,MCO,TGO,CUB,NPL,KAZ,SRB,KNA,DMA,IRL,CMR,PRT,NGA,LUX,TLS,MWI,JOR,LTU,BHR,MNE,TCD,AGO,SYR,GTM,NIC,ARM,SWZ,UZB,COD,HTI,ZAF,MDV,CAF,MLI,PNG,BEN,GUY,KGZ,GEO,BHS,ZWE,SEN,ARE,LAO,VCT,SSD,SLV,JAM,LCA,GIN,AZE,SUR,FJI,MMR,SYC,ATG,LBR,GRD,QAT,AUT,VEN,CZE,ARG,UGA,KOR,ISL,GRC,BLZ,MRT,EGY,LBN,GHA,RWA,SLE,GAB,IRQ,AFG,MDA,PRY,MLT,MOZ,AND,SVK,NOR,GMB,CRI,IRN,IDN,SGP,BIH,DOM,THA,DJI,HUN,BRB,SOM,LVA,GNQ,SVN,SDN,ZMB,TWN,BGR,SAU,HND,DZA,POL,URY,KHM
2020-04-12,555271,15770,6748,9205,83134,2776,4219,22192,2777,7519,10483,156363,166831,25746,7213,127854,4683,25303,85206,120750,29647,6315,5230,6369,1330,2974,446,38,300,8,210,616,3234,197,828,324,5,25415,6300,1,34,5,262,136,4648,13,113,25,1309,7466,11504,621,60,16,16,1234,574,4,707,106,1661,356,2578,32,71,1600,56956,81,599,529,497,93,76,669,12,951,3630,12,16,9655,820,16585,323,3281,2,13,389,952,1136,272,18,19,25,155,9,1013,14,865,234,31,2173,20,8,105,2,35,45,377,257,46,14,280,4123,19,12,4,125,69,15,250,1098,10,16,41,11,21,48,14,2979,13945,181,5991,2142,54,10512,1701,2081,14,7,2065,630,566,126,10,49,1352,555,1662,147,378,21,638,742,6525,9,595,71686,4241,2532,1009,2967,2551,214,1410,71,25,651,21,1205,19,43,388,675,4462,393,1914,6674,480,122
2020-04-13,580526,18328,7370,10453,83213,2852,4661,23430,3102,9784,10948,159516,170099,26710,7525,130072,4817,26937,89570,124414,30589,6351,5496,6513,1349,3064,467,38,330,10,217,633,3400,208,854,324,5,25688,6633,1,34,5,265,136,4932,13,113,26,1332,7529,11942,803,60,17,16,1300,626,4,726,106,1763,356,2919,49,74,1650,61049,81,727,529,497,93,77,726,14,1091,4054,12,16,10647,820,16934,343,3292,4,16,391,970,1361,274,23,19,25,156,9,1039,15,998,235,31,2272,20,11,123,2,35,45,419,272,47,17,291,4521,19,12,4,137,73,15,319,1148,10,16,62,11,23,50,14,3231,14041,189,6059,2208,54,10537,1711,2145,18,7,2190,632,566,127,10,57,1378,607,1712,159,384,21,646,769,6603,9,612,73303,4557,2918,1037,3167,2579,298,1458,72,60,655,21,1212,19,45,393,685,4934,397,1983,6934,480,122
2020-04-14,607220,21102,7645,11487,83306,2979,5014,25262,3372,10303,11445,162488,172541,27580,7917,131359,4987,28563,94845,130377,31119,6415,5837,6706,1366,3161,475,38,354,11,233,662,3472,216,908,324,5,25936,6879,1,34,5,266,136,5223,13,113,35,1373,7603,12341,1012,60,30,16,1355,638,4,747,108,1888,371,3281,53,82,1704,65111,81,813,570,528,93,77,766,16,1232,4465,14,16,11479,848,17448,373,3307,6,16,397,977,1528,283,23,19,29,167,9,1067,15,1165,241,40,2415,20,11,144,2,35,47,430,300,49,17,299,4933,19,12,4,149,73,15,363,1197,10,16,63,11,23,51,14,3428,14226,189,6111,2277,55,10564,1720,2170,18,7,2350,641,636,134,11,57,1400,665,1934,161,393,28,659,835,6623,9,618,74877,4839,3252,1083,3286,2613,363,1512,72,60,657,41,1220,29,45,393,713,5369,407,2070,7202,483,122
2020-04-15,636538,24490,8100,12322,83356,3105,5399,28320,3764,11475,11927,165155,177644,28316,8273,134753,5072,30223,99483,133585,33573,6440,6383,6876,1386,3237,494,43,397,56,238,695,3574,225,974,324,5,26336,7216,1,35,5,267,136,5453,13,114,48,1400,7858,12652,1231,117,30,16,1405,638,4,780,110,2024,372,3728,88,85,1741,69392,81,910,584,542,93,81,814,16,1295,4873,14,16,12547,848,18091,407,3373,8,16,401,995,1671,288,23,19,33,180,9,1111,15,1302,254,40,2506,22,12,148,2,35,55,449,306,49,23,314,5365,19,12,4,159,125,15,404,1253,10,16,74,11,23,59,14,3711,14336,197,6216,2443,55,10591,1727,2192,18,7,2505,658,636,136,13,80,1415,770,2049,174,399,29,673,863,6740,9,626,76389,5136,3699,1110,3614,2643,435,1579,73,80,666,51,1248,32,48,395,747,5862,419,2160,7582,492,122
2020-04-16,667773,27938,8626,13430,83403,3233,5847,30425,4161,12491,12540,168941,184948,29383,8807,137698,5182,32790,104145,146182,34809,6462,6919,7074,1401,3369,518,43,441,56,238,715,3751,234,1081,324,5,26732,7707,1,35,5,268,136,5660,15,114,49,1434,8225,12948,1572,117,31,16,1524,654,4,822,111,2283,393,4204,94,92,1791,74193,81,1019,584,546,93,81,862,16,1402,5318,14,16,13271,996,18841,442,3444,18,16,402,1022,1700,303,27,19,33,196,9,1159,16,1349,267,41,2605,25,12,171,7,35,55,466,348,53,23,335,5825,19,12,4,164,143,15,438,1283,10,17,85,11,23,59,14,4103,14476,204,6433,2571,55,10613,1739,2207,18,7,2673,663,641,138,15,80,1434,794,2154,199,412,31,673,977,6896,9,642,77995,5516,4427,1167,3755,2672,591,1652,75,80,675,51,1268,32,48,395,800,6380,426,2268,7918,502,122
2020-04-17,699948,32008,9787,14352,83760,3439,6297,33682,4662,13489,13216,172434,190839,30619,9252,141397,5251,34876,109769,148103,36138,6522,7025,7268,1409,3489,539,43,465,56,244,735,4016,246,1117,324,5,27078,8067,1,35,5,268,136,5878,15,114,49,1459,8450,13246,1838,143,31,16,1658,688,4,864,117,2564,426,4779,147,96,1814,78546,82,1069,627,557,94,83,923,30,1546,5690,14,16,13980,996,19022,493,3480,18,17,407,1050,1740,303,27,19,38,214,9,1201,16,1405,287,41,2783,28,12,171,7,35,63,489,370,54,24,342,6302,19,12,4,177,143,15,477,1340,10,17,88,11,23,73,14,4663,14595,204,6549,2669,56,10635,1754,2224,18,7,2844,668,641,143,26,108,1482,845,2264,202,422,34,696,1049,6937,9,649,79494,5923,5050,1214,4126,2700,732,1763,75,116,682,79,1304,32,52,395,846,7142,442,2418,8379,502,122
2020-04-18,732511,36793,10296,15722,83787,3439,6875,36658,5106,14420,13822,175925,191726,31766,9730,143342,5305,36358,115314,151924,37183,6547,7638,7437,1422,3681,548,46,493,58,254,735,4210,262,1170,325,5,27404,8418,1,39,5,268,137,6087,15,114,49,1512,9022,13537,2144,143,31,16,1751,801,4,864,120,2685,426,4779,147,105,1832,82329,82,1180,639,565,94,84,986,31,1615,5994,14,16,14758,1017,19685,542,3537,18,17,413,1091,1773,307,33,24,38,235,9,1248,22,1490,307,43,3034,35,12,216,7,35,63,506,388,55,25,350,6302,19,12,4,190,163,15,518,1373,10,17,98,11,23,76,14,5008,14671,227,6606,2758,55,10653,1760,2235,18,7,3032,672,834,144,30,108,1513,908,2378,206,426,35,704,1089,7036,9,655,80868,6248,5992,1268,4335,2733,732,1834,75,135,712,79,1317,66,57,398,878,8274,457,2534,8742,508,122
2020-04-19,759150,42853,10797,17615,83805,3792,7497,38654,5449,15628,14385,178972,198674,32838,10088,145184,5389,38026,121172,153041,38496,6547,8348,7580,1431,3783,562,50,520,61,271,761,4273,270,1207,328,5,27740,8746,1,39,5,268,138,6259,20,114,51,1528,9468,13813,2456,143,32,16,1915,847,4,879,121,2855,455,4779,170,108,1871,86306,82,1266,648,576,94,84,1035,31,1676,6318,14,16,15251,1017,20206,627,3550,19,17,417,1153,1881,308,33,24,39,257,10,1291,22,1565,327,44,3158,52,12,224,7,35,65,554,394,55,25,367,6781,19,12,4,201,173,15,579,1398,10,17,111,11,23,81,14,5448,14749,256,6746,2839,55,10661,1771,2245,18,7,3144,673,1042,147,35,109,1539,933,2472,208,427,39,713,1161,7078,10,660,82211,6575,6588,1285,4680,2765,846,1916,75,164,727,79,1330,66,61,420,894,9362,472,2629,9287,517,122
2020-04-20,784339,47121,10797,18539,83817,3977,8261,40743,5710,16325,14777,181228,200210,33588,10507,147065,5425,39591,125856,155489,39983,6547,8418,7711,1440,3868,584,50,564,67,304,767,4467,281,1225,328,5,27944,8936,1,39,5,268,138,6459,20,114,51,1535,10128,14112,2948,160,33,16,1995,847,4,884,121,3046,461,6264,254,111,1881,90980,82,1410,648,581,94,84,1087,31,1852,6630,15,16,15652,1163,20863,665,3558,22,17,425,1173,1907,312,33,24,39,289,10,1339,24,1627,332,44,3300,69,12,246,7,54,65,568,402,60,25,377,7265,19,12,4,218,223,15,622,1436,10,18,119,11,23,91,14,6015,14795,256,6900,2941,56,10674,1773,2245,18,7,3333,677,1042,147,43,120,1574,996,2548,208,431,39,717,1173,7156,10,662,83505,6760,8014,1309,4964,2792,846,1984,75,237,739,79,1335,92,65,422,929,10484,477,2718,9593,535,122
2020-04-21,812350,52763,11135,20080,83853,4149,8772,43079,6125,17837,15322,183957,204178,34317,10832,148291,5482,41334,130172,158197,40956,6547,9565,7891,1445,4014,609,50,598,68,310,772,4658,296,1231,328,6,28063,9242,1,39,5,268,138,6599,20,115,51,1552,10398,14394,3382,165,34,16,2080,916,4,884,121,3209,462,6723,254,114,1908,95591,82,1508,657,600,94,86,1137,43,1995,6630,15,16,16040,1163,21379,665,3618,23,18,428,1226,1973,313,33,24,42,294,10,1401,31,1678,350,47,3465,83,14,258,7,54,66,590,408,65,28,412,7755,19,12,4,225,223,15,688,1480,10,18,121,11,23,99,14,6533,14873,285,7033,3031,61,10683,1778,2401,18,7,3490,677,1042,150,50,156,1602,1026,2614,213,443,39,717,1199,7191,10,669,84802,7135,9125,1342,5044,2811,945,2098,75,286,748,83,1344,107,70,425,975,11631,494,2811,9856,535,122
