,Country,Population
0,USA,329484123.0
1,RUS,144104080.0
2,JPN,125836021.0
3,IND,1380004385.0
4,CHN,1410929362.0
5,COL,50882884.0
6,MEX,128932753.0
7,BRA,212559409.0
8,UKR,44134693.0
9,PER,32971846.0
10,SWE,10353442.0
11,ITA,59554023.0
12,ESP,47351567.0
13,NLD,17441139.0
14,CHL,19116209.0
15,DEU,83240525.0
16,MYS,32365998.0
17,CAN,38005238.0
18,GBR,67215293.0
19,FRA,67391582.0
20,BEL,11555997.0
21,AUS,25687041.0
22,PAK,220892331.0
23,DNK,5831404.0
24,NZL,5084300.0
25,FIN,5530719.0
26,ALB,2837743.0
27,GNB,1967998.0
28,BOL,11673029.0
29,CPV,555988.0
30,LKA,21919000.0
31,CYP,1207361.0
32,PAN,4314768.0
33,KEN,53771300.0
34,MKD,2072531.0
35,MUS,1265740.0
36,BTN,771612.0
37,CHE,8636896.0
38,ROU,19286123.0
39,YEM,29825968.0
40,ERI,6081000
41,BDI,11890781.0
42,VNM,97338583.0
43,BRN,437483.0
44,PHL,109581085.0
45,BWA,2351625.0
46,TTO,1399491.0
47,LBY,6871287.0
48,EST,1331057.0
49,ECU,17643060.0
50,ISR,9216900.0
51,BGD,164689383.0
52,COG,5518092.0
53,MNG,3278292.0
54,NAM,2540916.0
55,KWT,4270563.0
56,CIV,26378275.0
57,STP,219161.0
58,TUN,11818618.0
59,MDG,27691019.0
60,MAR,36910558.0
61,SMR,33938.0
62,BLR,9379952.0
63,TZA,59734213.0
64,ETH,114963583.0
65,HRV,4047200.0
66,TUR,84339067.0
67,LIE,38137.0
68,OMN,5106622.0
69,NER,24206636.0
70,BFA,20903278.0
71,MCO,39244.0
72,TGO,8278737.0
73,CUB,11326616.0
74,NPL,29136808.0
75,KAZ,18754440.0
76,SRB,6908224.0
77,KNA,53192.0
78,DMA,71991.0
79,IRL,4994724.0
80,CMR,26545864.0
81,PRT,10305564.0
82,NGA,206139587.0
83,LUX,632275.0
84,TLS,1318442.0
85,MWI,19129955.0
86,JOR,10203140.0
87,LTU,2794700.0
88,BHR,1701583.0
89,MNE,621306.0
90,TCD,16425859.0
91,AGO,32866268.0
92,SYR,17500657.0
93,GTM,16858333.0
94,NIC,6624554.0
95,ARM,2963234.0
96,SWZ,1160164.0
97,UZB,34232050.0
98,COD,89561404.0
99,HTI,11402533.0
100,ZAF,59308690.0
101,MDV,540542.0
102,CAF,4829764.0
103,MLI,20250834.0
104,PNG,8947027.0
105,BEN,12123198.0
106,GUY,786559.0
107,KGZ,6591600.0
108,GEO,3714000.0
109,BHS,393248.0
110,ZWE,14862927.0
111,SEN,16743930.0
112,ARE,9890400.0
113,LAO,7275556.0
114,VCT,110947.0
115,SSD,11193729.0
116,SLV,6486201.0
117,JAM,2961161.0
118,LCA,183629.0
119,GIN,13132792.0
120,AZE,10093121.0
121,SUR,586634.0
122,FJI,896444.0
123,MMR,54409794.0
124,SYC,98462.0
125,ATG,97928.0
126,LBR,5057677.0
127,GRD,112519.0
128,QAT,2881060.0
129,AUT,8917205.0
130,VEN,28435943.0
131,CZE,10698896.0
132,ARG,45376763.0
133,UGA,45741000.0
134,KOR,51780579.0
135,ISL,366425.0
136,GRC,10715549.0
137,BLZ,397621.0
138,MRT,4649660.0
139,EGY,102334403.0
140,LBN,6825442.0
141,GHA,31072945.0
142,RWA,12952209.0
143,SLE,7976985.0
144,GAB,2225728.0
145,IRQ,40222503.0
146,AFG,38928341.0
147,MDA,2620495.0
148,PRY,7132530.0
149,MLT,525285.0
150,MOZ,31255435.0
151,AND,77265.0
152,SVK,5458827.0
153,NOR,5379475.0
154,GMB,2416664.0
155,CRI,5094114.0
156,IRN,83992953.0
157,IDN,273523621.0
158,SGP,5685807.0
159,BIH,3280815.0
160,DOM,10847904.0
161,THA,69799978.0
162,DJI,988002.0
163,HUN,9749763.0
164,BRB,287371.0
165,SOM,15893219.0
166,LVA,1901548.0
167,GNQ,1402985.0
168,SVN,2100126.0
169,SDN,43849269.0
170,ZMB,18383956.0
171,TWN,23570000
172,BGR,6934015.0
173,SAU,34813867.0
174,HND,9904608.0
175,DZA,43851043.0
176,POL,37950802.0
177,URY,3473727.0
178,KHM,16718971.0
