,School,Plan,Type,Date,Reversal Count,Location
0,Brigham Young University-Hawaii,All remote instruction,closing,2020-06-10,1,"Laie, HI"
1,Hampton University,All remote instruction,closing,2020-07-01,1,"Hampton, VA"
2,University of Southern California,Most courses online,closing,2020-07-01,2,"Los Angeles, CA"
3,Pomona College,All remote instruction,closing,2020-07-08,1,"Claremont, CA"
4,Scripps College,All remote instruction,closing,2020-07-08,1,"Claremont, CA"
5,West Chester University,All remote instruction,closing,2020-07-10,1,"West Chester, PA"
6,East Stroudsburg University,Most courses online,closing,2020-07-14,1,"East Stroudsburg, PA"
7,Kenyon College,Fewer students on campus,closing,2020-07-14,1,"Gambier, OH"
8,Pitzer College,All remote instruction,closing,2020-07-14,1,"Claremont, CA"
9,Occidental College‡,All remote instruction,closing,2020-07-15,1,"Los Angeles, CA"
10,Castleton University,All remote instruction,closing,2020-07-15,1,"Castleton, VT"
11,Rhodes College,All remote instruction,closing,2020-07-15,1,"Memphis, TN"
12,Simmons University,All remote instruction,closing,2020-07-15,1,"Boston, MA"
13,University of San Francisco,Most courses online,closing,2020-07-15,1,"San Francisco, CA"
14,Dickinson College,All remote instruction,closing,2020-07-15,1,"Carlisle, PA"
15,Emory University,Most courses online,closing,2020-07-17,1,"Atlanta, GA"
16,University of the Pacific,Most courses online,closing,2020-07-17,1,"Stockton, CA"
17,"University of California, Berkeley",Start semester online,closing,2020-07-20,1,"Berkeley, CA"
18,Miami Dade College,Start semester online,closing,2020-07-20,1,"Miami, FL"
19,Grinnell College,All remote instruction,closing,2020-07-20,1,"Grinnell, IA"
20,"University of California, Merced",Delayed in-person start,closing,2020-07-21,1,"Merced, CA"
21,Aurora University,Most courses online,closing,2020-07-22,1,"Aurora, IL"
22,Western New Mexico University,Delayed in-person start,closing,2020-07-22,1,"Silver City, NM"
23,University of Delaware,Most courses online,closing,2020-07-22,1,"Newark, DE"
24,Pepperdine University,All remote instruction,closing,2020-07-22,1,"Malibu, CA"
