End Date,Source,Lat,Lon,Title,Location,Plan,Details,Date Reported,Link,Ongoing Public Health Situation,State Regulations,Testing Availibility/Turnaround,Transmission on College,Student Health/Safety,Other,Reversal Count,ZIP,FIPS,Classes Start Date,Days until Shift,Cases on Flip,Clusters on Flip,,,,
11/18/2020,[Source](https://healthy.brown.edu/updates/brown-community-parents-brown-returns-level-1-status-effective-nov-18),41.82617,-71.40385,Brown University,"Providence, RI",Suspended in-person instruction,semester,11/17/2020,https://healthy.brown.edu/updates/brown-community-parents-brown-returns-level-1-status-effective-nov-18,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://www.westfield.ma.edu/news/view/westfield-state-university-advances-to-next-phase-of-curtailment),42.132698,-72.796503,Westfield State University,"Westfield, MA",Suspended in-person instruction,semester,11/16/2020,https://www.westfield.ma.edu/news/view/westfield-state-university-advances-to-next-phase-of-curtailment,,,,,,,3,,,,,,,,,,
11/18/2020,[Source](https://www.vinu.edu/web/external-relations/news-releases/-/blogs/vu-suspends-in-person-classes-for-rest-of-fall-semester?_com_liferay_blogs_web_portlet_BlogsPortlet_redirect=https%3A%2F%2Fwww.vinu.edu%2Fweb%2Fexternal-relations%2Fnews-releases%3Fp_p_id%3Dcom_liferay_blogs_web_portlet_BlogsPortlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26_com_liferay_blogs_web_portlet_BlogsPortlet_cur%3D1%26_com_liferay_blogs_web_portlet_BlogsPortlet_delta%3D5),38.687766,-87.519939,Vincennes University,"Vincennes, IN",Suspended in-person instruction,semester,11/16/2020,https://www.vinu.edu/web/external-relations/news-releases/-/blogs/vu-suspends-in-person-classes-for-rest-of-fall-semester?_com_liferay_blogs_web_portlet_BlogsPortlet_redirect=https%3A%2F%2Fwww.vinu.edu%2Fweb%2Fexternal-relations%2Fnews-releases%3Fp_p_id%3Dcom_liferay_blogs_web_portlet_BlogsPortlet%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26_com_liferay_blogs_web_portlet_BlogsPortlet_cur%3D1%26_com_liferay_blogs_web_portlet_BlogsPortlet_delta%3D5,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://www.sjcme.edu/prepared/campus-health-dashboard-2/),43.826314,-70.483373,Saint Joseph's College of Maine,"Standish, ME",Suspended in-person instruction,semester,11/15/2020,https://www.sjcme.edu/prepared/campus-health-dashboard-2/,,,,,,,2,,,,,,,,,,
11/18/2020,[Source](https://www.strose.edu/2020/11/15/saint-rose-to-move-to-all-remote-classes-on-november-17-residence-halls-remain-open/),42.664297,-73.786661,The College of Saint Rose,"Albany, NY",Suspended in-person instruction,"semester, as of nov. 17",11/15/2020,https://www.strose.edu/2020/11/15/saint-rose-to-move-to-all-remote-classes-on-november-17-residence-halls-remain-open/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://nmu.edu/safe-on-campus/communications-students-july-1-2020),46.559751,-87.406568,Northern Michigan University,"Marquette, MI",Suspended in-person instruction,"semester, as of Nov. 18",11/15/2020,https://nmu.edu/safe-on-campus/communications-students-july-1-2020,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://today.umd.edu/articles/nearly-all-undergraduate-courses-immediately-go-online-ce34ad4c-1032-4ab8-a7b7-926de975e124),38.988178,-76.944721,University of Maryland-College Park,"College Park, MD",Suspended in-person instruction,semester,11/13/2020,https://today.umd.edu/articles/nearly-all-undergraduate-courses-immediately-go-online-ce34ad4c-1032-4ab8-a7b7-926de975e124,,,,,,,3,,,,,,,,,,
11/18/2020,[Source](https://wp.kings.edu/moodle/2020/11/12/message-from-the-president-distance-courses-nov-17/),35.213399,-80.822283,King's College,"Wilkes-Barre, PA",Suspended in-person instruction,semester,11/12/2020,https://wp.kings.edu/moodle/2020/11/12/message-from-the-president-distance-courses-nov-17/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://chancellor.missouri.edu/messages/mizzou-to-temporarily-shift-to-remote-learning-after-thanksgiving/),38.94531,-92.328843,University of Missouri-Columbia,"Columbia, MO",Suspended in-person instruction,semester,11/12/2020,https://chancellor.missouri.edu/messages/mizzou-to-temporarily-shift-to-remote-learning-after-thanksgiving/,,,,,,,1,,,,,,,,,,
11/18/2020,[Source](https://news.syr.edu/blog/2020/11/11/residential-instruction-to-conclude-effective-thursday-nov-12-university-will-go-into-pause-mode/),43.040176,-76.136975,Syracuse University,"Syracuse, NY",Suspended in-person instruction,semester,11/11/2020,https://news.syr.edu/blog/2020/11/11/residential-instruction-to-conclude-effective-thursday-nov-12-university-will-go-into-pause-mode/,,,,,,,1,,,,,,,,,,
