,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
01-01-2021,365747,46986,0,530267,229442,2365024,337161,185708,58064,49,29252,1323315,677589,103,7326,22022,141077,963389,517773,282980,230108,265261,315275,24902,280219,375178,528621,415302,218386,408006,81555,167716,227046,44028,535043,144142,995816,539545,92770,122,700380,290936,113909,652091,77054,87949,307507,99164,586802,1782956,276612,7412,2036,354766,246752,87820,522523,44409
01-02-2021,369458,47801,0,539150,231442,2415246,339172,190120,58873,49,29509,1354833,685122,103,7326,22181,142199,975352,523090,283895,230119,273970,315275,25245,283171,384181,538121,417832,220277,410744,81944,168262,228871,45206,541202,145379,1011665,558437,92891,122,714673,296055,116348,660580,77932,87949,312718,99829,604132,1801181,281654,7689,2041,358755,246752,89327,523652,44573
01-03-2021,371934,48098,0,556384,233475,2452262,341250,190120,59484,49,29764,1365436,690900,103,7326,22303,142507,979821,526071,284715,230119,276825,321058,25592,285319,387662,538121,420544,222061,413295,82381,169000,231614,46450,545450,146394,1023897,564924,93041,122,721481,304072,117745,664913,78169,87949,321669,100532,608297,1816886,283473,7793,2042,363765,255396,91058,526245,44875
01-04-2021,374095,48363,0,561542,234781,2490518,343435,194636,60333,49,29904,1376692,696063,103,7344,22378,143305,984880,529688,286356,234069,279142,322181,25967,287802,392568,543611,423688,223677,414812,82664,169585,233032,47328,547247,147315,1035139,570111,93240,122,727423,306771,118453,670039,78805,92708,325472,100643,612250,1831146,285633,7873,2055,367536,256435,91886,527871,45257
01-05-2021,379593,48560,0,567474,238888,2529480,346893,196968,61100,49,30166,1392123,706154,103,7357,22485,144843,991719,533083,288298,233901,280835,326648,26565,289758,397202,546642,425261,225444,417633,83378,171033,235455,47992,554400,148499,1048281,575396,93494,122,735003,308268,119488,678998,79319,93852,328073,101076,617649,1864173,288951,8038,2083,371913,258767,93162,531890,45569
01-06-2021,384184,48899,0,574680,242593,2567843,349450,199454,61729,49,30482,1409906,713840,103,7378,22610,146106,999288,539229,290776,239197,286540,333524,27090,292904,404053,551498,427587,228235,420070,84060,172469,237393,48838,560057,149984,1064297,582348,93832,125,742817,311573,120223,688398,79612,95463,333235,101684,625380,1884799,292720,8158,2083,377300,260752,94678,535999,45890
01-07-2021,389230,49228,0,584593,245916,2609088,352923,202758,62949,49,30750,1429722,723630,103,7386,22897,147173,1008045,546499,293189,239311,291429,338054,27625,295874,411601,555747,429570,228235,424946,84750,173591,240796,49261,566761,151819,1081885,592746,94156,125,753068,315354,121085,698005,79898,96591,338112,102132,634237,1910091,297317,8403,2130,382679,264012,96002,540508,46168
01-08-2021,394287,49639,0,596251,248860,2651984,356110,205994,63503,49,31107,1449252,736926,103,7399,23180,148258,1017322,552594,294762,244583,296166,341431,28407,299606,419721,559655,431944,233665,429150,85568,174614,243661,50152,572692,153456,1101445,602774,94438,125,762603,320586,122847,708221,82067,97614,344176,102580,640606,1932554,301110,8619,2143,387917,268607,97898,544618,46647
01-09-2021,399150,49958,0,607345,251746,2704483,358947,205994,64475,49,31457,1464697,748852,103,7399,23408,149235,1024039,558560,296171,244583,300397,341431,29019,303364,427135,562553,434413,236868,433165,86102,175620,246309,50871,579250,154954,1119284,614355,94558,125,770977,324875,124476,717277,82630,97614,350084,102901,646450,1951915,303723,8790,2143,393715,271595,99778,548134,46719
01-10-2021,401900,50218,0,618546,255076,2744008,361148,205994,65273,49,31791,1477010,757045,103,7399,23586,149667,1028750,563653,296682,244583,303624,346829,29298,306674,432791,562553,436572,239082,435999,86324,176026,248569,51600,584828,156157,1135592,623188,94716,125,777065,331362,125683,723865,83119,97614,354525,103318,653869,1968189,305999,8967,2143,398856,271595,101212,550260,46832
